0.0.0, Water,Water,Water
 9.4.7,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Texas Blackland Prairies
 9.5.1,Great Plains, TEXAS-LOUISIANA COASTAL PLAIN, Western Gulf Coastal Plain
 9.6.1,Great Plains, TAMAULIPAS-TEXAS SEMIARID PLAIN, Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest
 10.1.1,North American Deserts, COLD DESERTS, Thompson-Okanogan Plateau
 10.1.2,North American Deserts, COLD DESERTS, Columbia Plateau
 10.1.3,North American Deserts, COLD DESERTS, Northern Basin and Range
 10.1.4,North American Deserts, COLD DESERTS, Wyoming Basin
 10.1.5,North American Deserts, COLD DESERTS, Central Basin and Range
 10.1.6,North American Deserts, COLD DESERTS, Colorado Plateaus
 10.1.7,North American Deserts, COLD DESERTS, Arizona/New Mexico Plateau
 10.1.8,North American Deserts, COLD DESERTS, Snake River Plain
 10.2.1,North American Deserts, WARM DESERTS, Mojave Basin and Range
 10.2.2,North American Deserts, WARM DESERTS, Sonoran Desert
 10.2.3,North American Deserts, WARM DESERTS, Baja Californian Desert
 10.2.4,North American Deserts, WARM DESERTS, Chihuahuan Desert
 11.1.1,Mediterranean California, MEDITERRANEAN CALIFORNIA," California Coastal Sage, Chaparral, and Oak Woodlands, and Oak Woodlands"
 11.1.2,Mediterranean California, MEDITERRANEAN CALIFORNIA, Central California Valley
 11.1.3,Mediterranean California, MEDITERRANEAN CALIFORNIA, Southern and Baja California Pine-Oak Mountains
 12.1.1,Southern Semi-Arid Highlands, WESTERN SIERRA MADRE PIEDMONT, Madrean Archipelago
 12.1.2,Southern Semi-Arid Highlands, WESTERN SIERRA MADRE PIEDMONT," Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests"
 12.2.1,Southern Semi-Arid Highlands, WESTERN SIERRA MADRE PIEDMONT, Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest
 13.1.1,Temperate Sierras, UPPER GILA MOUNTAINS, Arizona/New Mexico Mountains
 13.2.1,Temperate Sierras, WESTERN SIERRA MADRE," Sierra Madre Occidental with Conifer, Oak, and Mixed Forests"
 13.3.1,Temperate Sierras, EASTERN SIERRA MADRE," Sierra Madre Oriental with Conifer, Oak, and Mixed Forests"
 13.4.1,Temperate Sierras, TRANSVERSAL NEO-VOLCANIC SYSTEM, Interior Plains and Piedmonts with Grasslands and Xeric Shrub
 13.4.2,Temperate Sierras, TRANSVERSAL NEO-VOLCANIC SYSTEM," Hills and Sierras with Conifer, Oak, and Mixed Forests"
 13.5.1,Temperate Sierras, SOUTHERN SIERRA MADRE," Sierras of Jalisco and Michoacan with Conifer, Oak, and Mixed Forests"
 13.5.2,Temperate Sierras, SOUTHERN SIERRA MADRE," Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests"
 13.6.1,Temperate Sierras, CENTRAL AMERICAN SIERRA MADRE AND CHIAPAS HIGHLANDS," Central American Sierra Madre with Conifer, Oak, and Mixed Forests"
 13.6.2,Temperate Sierras, CENTRAL AMERICAN SIERRA MADRE AND CHIAPAS HIGHLANDS," Chiapas Highlands with Conifer, Oak, and Mixed Forest"
